행정구역,2020인구,2021인구,2022인구,2020경제활동인구,2021경제활동인구,2022경제활동인구,2021인구증감율,2122인구증감율,2021경제활동인구증감율,2122경제활동인구증감율
제주특별자치도 제주시,380654.0,380948.0,380973.0,220665.0,222656.0,235734.0,0.08,0.01,0.9,5.87
제주특별자치도 제주시 애월읍,36842.0,37579.0,37649.0,21593.0,22057.0,23370.0,2.0,0.19,2.15,5.95
제주특별자치도 제주시 조천읍,25328.0,25493.0,25727.0,15119.0,15218.0,16252.0,0.65,0.92,0.65,6.79
제주특별자치도 제주시 한림읍,21248.0,21244.0,21063.0,12914.0,12946.0,13583.0,-0.02,-0.85,0.25,4.92
제주특별자치도 제주시 구좌읍,15557.0,15382.0,15378.0,9648.0,9595.0,10124.0,-1.12,-0.03,-0.55,5.51
제주특별자치도 제주시 한경면,9019.0,9281.0,9504.0,5637.0,5778.0,6225.0,2.9,2.4,2.5,7.74
제주특별자치도 제주시 우도면,1753.0,1687.0,1677.0,1113.0,1069.0,1127.0,-3.76,-0.59,-3.95,5.43
제주특별자치도 제주시 추자면,1671.0,1606.0,1572.0,1069.0,1038.0,1074.0,-3.89,-2.12,-2.9,3.47
제주특별자치도 서귀포시,101832.0,102623.0,103636.0,59912.0,60745.0,64856.0,0.78,0.99,1.39,6.77
제주특별자치도 서귀포시 대정읍,21720.0,22189.0,22305.0,12729.0,12945.0,13731.0,2.16,0.52,1.7,6.07
제주특별자치도 서귀포시 남원읍,18757.0,18635.0,18498.0,11579.0,11567.0,12127.0,-0.65,-0.74,-0.1,4.84
제주특별자치도 서귀포시 성산읍,15306.0,15498.0,15453.0,9500.0,9662.0,10165.0,1.25,-0.29,1.71,5.21
제주특별자치도 서귀포시 표선면,12334.0,12386.0,12504.0,7547.0,7580.0,8045.0,0.42,0.95,0.44,6.13
제주특별자치도 서귀포시 안덕면,11980.0,12217.0,12434.0,7271.0,7445.0,7988.0,1.98,1.78,2.39,7.29
